segment_id,material,product_type,diameter_in,length_km,age_years,coating_type,soil_type,cathodic_protection_status,operating_pressure_psi,pressure_cycles_per_day,nominal_wall_thickness_mm,measured_wall_thickness_mm,corrosion_rate_mm_per_year,wall_loss_pct,repairs_last_5yr,inspection_gap_years,high_consequence_area,river_road_crossing,leak_incident_last_5yr
SEG-0165,HDPE,Crude Oil,12,5.87,23.1,FBE,Loam,Adequate,902.0,4,9.5,8.89,0.037,6.4,0,3.3,No,No,0
SEG-0166,CRA-Clad,Natural Gas,6,4.18,24.7,Polyethylene Tape,Marshland,Marginal,961.0,3,6.4,6.55,0.01,0.0,2,7.7,No,No,0
SEG-0167,Carbon Steel,Crude Oil,24,11.44,20.6,FBE,Marshland,Marginal,505.0,7,6.4,6.59,0.01,0.0,1,4.5,No,No,0
SEG-0168,CRA-Clad,Produced Water,16,5.43,29.8,Coal Tar Enamel,Rocky,Adequate,1165.0,5,7.9,7.63,0.02,3.5,0,3.5,No,No,0
SEG-0169,HDPE,Produced Water,16,2.43,6.5,None,Rocky,Adequate,464.0,7,11.1,11.68,0.01,0.0,0,6.9,No,No,0
SEG-0170,Carbon Steel,Crude Oil,16,1.1,1.0,Coal Tar Enamel,Sandy,Adequate,642.0,4,6.4,6.81,0.028,0.0,2,6.3,No,No,1
SEG-0171,Carbon Steel,NGL,16,5.11,3.6,Asphalt Mastic,Loam,Marginal,1044.0,5,12.7,12.43,0.064,2.1,1,1.9,No,No,0
SEG-0172,Carbon Steel,Natural Gas,24,2.38,4.4,Asphalt Mastic,Marshland,Inadequate,1260.0,9,7.9,7.4,0.159,6.3,1,6.1,No,No,0
SEG-0173,Carbon Steel,Crude Oil,4,1.49,28.2,Polyethylene Tape,Marshland,Inadequate,747.0,9,6.4,2.24,0.134,65.0,2,1.5,No,Yes,1
SEG-0174,Carbon Steel,Produced Water,6,9.71,25.0,Polyethylene Tape,Marshland,Adequate,771.0,8,11.1,10.53,0.019,5.1,0,3.7,No,No,0
SEG-0175,Carbon Steel,Crude Oil,16,3.06,23.5,FBE,Rocky,Adequate,1072.0,2,6.4,5.55,0.032,13.2,1,1.4,No,No,0
SEG-0176,Carbon Steel,Natural Gas,20,4.18,4.3,Coal Tar Enamel,Clay,Inadequate,885.0,7,12.7,12.13,0.12,4.5,1,7.3,Yes,No,0
SEG-0177,Carbon Steel,Natural Gas,6,2.21,15.3,Coal Tar Enamel,Sandy,Adequate,1559.0,10,12.7,12.15,0.01,4.3,0,7.0,No,Yes,0
SEG-0178,HDPE,Crude Oil,16,20.54,11.4,None,Rocky,Adequate,602.0,5,6.4,6.12,0.051,4.3,0,5.8,No,No,0
SEG-0179,Carbon Steel,Crude Oil,8,4.65,6.6,None,Sandy,Adequate,1070.0,7,9.5,9.25,0.01,2.6,0,3.6,No,Yes,0
SEG-0180,CRA-Clad,Crude Oil,8,6.2,12.1,FBE,Clay,Marginal,1005.0,7,6.4,6.62,0.01,0.0,0,5.2,No,No,0
SEG-0181,Carbon Steel,Crude Oil,6,2.64,2.7,FBE,Rocky,Adequate,969.0,12,6.4,6.12,0.01,4.4,2,7.3,No,No,0
SEG-0182,Carbon Steel,Crude Oil,20,5.17,23.9,Polyethylene Tape,Marshland,Adequate,484.0,8,12.7,11.9,0.045,6.3,1,5.2,No,No,0
SEG-0183,HDPE,Crude Oil,8,7.73,4.5,Asphalt Mastic,Sandy,Marginal,755.0,7,11.1,10.43,0.01,6.1,1,4.8,No,Yes,0
SEG-0184,Carbon Steel,Natural Gas,20,8.72,18.2,Coal Tar Enamel,Sandy,Inadequate,976.0,4,12.7,11.75,0.053,7.5,1,5.9,No,No,0
SEG-0185,Carbon Steel,Natural Gas,4,6.46,1.0,FBE,Marshland,Marginal,1147.0,1,11.1,10.65,0.035,4.1,1,3.6,No,No,0
SEG-0186,Carbon Steel,Crude Oil,4,6.47,23.6,FBE,Loam,Adequate,626.0,2,11.1,11.12,0.01,0.0,1,1.3,No,No,0
SEG-0187,Carbon Steel,Crude Oil,24,2.4,3.8,Asphalt Mastic,Clay,Marginal,1220.0,3,9.5,9.28,0.05,2.3,0,3.8,Yes,No,0
SEG-0188,Carbon Steel,Crude Oil,8,9.21,42.9,Polyethylene Tape,Rocky,Marginal,999.0,10,6.4,5.86,0.01,8.4,0,3.2,No,No,1
SEG-0189,CRA-Clad,NGL,6,6.82,19.6,Polyethylene Tape,Clay,Marginal,928.0,2,11.1,10.47,0.01,5.7,0,7.2,No,No,0
SEG-0190,CRA-Clad,Produced Water,16,10.79,16.9,Polyethylene Tape,Sandy,Inadequate,1098.0,11,9.5,8.76,0.01,7.8,1,5.2,No,No,0
SEG-0191,Carbon Steel,Natural Gas,8,4.49,15.8,None,Rocky,Adequate,1443.0,8,11.1,10.34,0.037,6.8,0,6.3,No,Yes,0
SEG-0192,CRA-Clad,Produced Water,16,6.76,15.1,Coal Tar Enamel,Sandy,Adequate,1095.0,2,11.1,11.36,0.023,0.0,0,4.8,No,No,0
SEG-0193,Carbon Steel,Natural Gas,24,9.76,5.9,Asphalt Mastic,Rocky,Adequate,1064.0,8,11.1,11.01,0.011,0.8,3,5.7,Yes,No,0
SEG-0194,HDPE,Produced Water,8,6.09,2.0,Coal Tar Enamel,Marshland,Adequate,1247.0,8,6.4,6.82,0.01,0.0,0,7.8,No,No,0
SEG-0195,HDPE,Crude Oil,24,27.66,15.1,None,Clay,Adequate,738.0,6,11.1,11.27,0.01,0.0,0,2.0,No,No,0
SEG-0196,Carbon Steel,Crude Oil,20,12.54,12.1,None,Clay,Marginal,713.0,8,6.4,5.07,0.117,20.9,0,4.0,No,No,0
SEG-0197,Carbon Steel,Crude Oil,6,0.97,6.2,Polyethylene Tape,Sandy,Marginal,810.0,8,7.9,7.65,0.054,3.2,0,4.9,No,Yes,0
SEG-0198,HDPE,NGL,10,11.04,17.1,Polyethylene Tape,Loam,Marginal,954.0,6,12.7,12.81,0.025,0.0,1,1.2,No,Yes,0
SEG-0199,CRA-Clad,NGL,8,2.69,11.3,None,Loam,Adequate,1245.0,6,7.9,7.31,0.033,7.5,0,7.0,No,Yes,0
SEG-0200,Carbon Steel,Natural Gas,20,7.07,15.8,Coal Tar Enamel,Marshland,Adequate,990.0,7,11.1,9.58,0.062,13.7,1,2.4,No,No,0
SEG-0201,HDPE,Natural Gas,24,2.36,11.0,Polyethylene Tape,Loam,Marginal,870.0,4,7.9,7.53,0.014,4.6,0,3.9,No,No,0
SEG-0202,HDPE,Produced Water,4,5.32,8.1,Coal Tar Enamel,Loam,Adequate,412.0,4,11.1,11.15,0.01,0.0,0,6.9,Yes,No,0
SEG-0203,Carbon Steel,Crude Oil,24,9.96,4.5,Polyethylene Tape,Loam,Adequate,1345.0,8,11.1,11.43,0.029,0.0,0,5.4,Yes,No,0
SEG-0204,Carbon Steel,Crude Oil,10,3.23,13.5,None,Loam,Adequate,1101.0,3,9.5,9.27,0.046,2.5,0,6.0,No,No,0
SEG-0205,Carbon Steel,Natural Gas,12,7.39,15.6,None,Marshland,Marginal,913.0,9,12.7,11.13,0.12,12.3,1,5.8,No,No,0
SEG-0206,Carbon Steel,Crude Oil,4,1.04,25.1,FBE,Sandy,Adequate,1153.0,6,12.7,11.8,0.029,7.1,0,1.7,No,No,0
SEG-0207,HDPE,Natural Gas,8,26.37,21.6,None,Clay,Marginal,1036.0,10,9.5,9.39,0.01,1.2,0,2.5,No,No,0
SEG-0208,HDPE,Natural Gas,10,7.51,5.9,Asphalt Mastic,Loam,Adequate,950.0,6,7.9,7.57,0.01,4.1,0,4.9,No,Yes,0
SEG-0209,Carbon Steel,Natural Gas,24,4.04,5.2,Asphalt Mastic,Rocky,Marginal,999.0,7,6.4,5.96,0.055,6.8,0,2.5,No,No,0
SEG-0210,Carbon Steel,Natural Gas,8,11.14,10.3,None,Loam,Marginal,1202.0,6,12.7,11.83,0.064,6.8,0,4.6,No,No,0
SEG-0211,Carbon Steel,NGL,24,1.99,9.4,Polyethylene Tape,Marshland,Marginal,849.0,3,11.1,10.84,0.055,2.3,0,4.2,No,No,0
SEG-0212,CRA-Clad,Produced Water,8,8.08,10.5,FBE,Marshland,Adequate,339.0,7,9.5,9.28,0.01,2.3,0,1.5,No,No,0
SEG-0213,Carbon Steel,Crude Oil,8,10.22,17.8,Coal Tar Enamel,Loam,Marginal,813.0,6,7.9,7.05,0.071,10.7,0,4.7,No,No,0
SEG-0214,Carbon Steel,Crude Oil,10,17.16,11.4,FBE,Loam,Inadequate,507.0,8,12.7,12.04,0.059,5.2,2,4.1,No,No,0
SEG-0215,Carbon Steel,Produced Water,4,15.65,26.2,Asphalt Mastic,Rocky,Adequate,1003.0,6,6.4,6.07,0.019,5.2,1,8.0,No,Yes,0
SEG-0216,CRA-Clad,Produced Water,4,4.21,26.5,FBE,Marshland,Inadequate,1067.0,6,12.7,12.79,0.01,0.0,2,7.3,Yes,No,1
SEG-0217,Carbon Steel,Crude Oil,16,15.04,10.3,FBE,Clay,Inadequate,468.0,1,6.4,5.78,0.02,9.6,1,6.6,No,No,0
SEG-0218,HDPE,Produced Water,16,13.44,6.6,FBE,Loam,Adequate,914.0,8,6.4,6.26,0.018,2.2,1,7.6,Yes,No,0
SEG-0219,Carbon Steel,Natural Gas,12,6.08,16.6,FBE,Sandy,Marginal,1212.0,3,12.7,12.47,0.02,1.8,0,1.8,No,No,0
SEG-0220,CRA-Clad,Produced Water,8,9.71,3.3,FBE,Rocky,Adequate,1063.0,2,12.7,13.28,0.01,0.0,0,2.3,Yes,No,0
